volumeId	imgSeq	imgUrl
V1GS66030_I1GS66239	122	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390122.tif/full/max/0/default.png
V1GS66030_I1GS66239	123	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390123.tif/full/max/0/default.png
V1GS66030_I1GS66239	124	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390124.tif/full/max/0/default.png
V1GS66030_I1GS66239	125	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390125.tif/full/max/0/default.png
V1GS66030_I1GS66239	126	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390126.tif/full/max/0/default.png
V1GS66030_I1GS66239	127	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390127.tif/full/max/0/default.png
V1GS66030_I1GS66239	128	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390128.tif/full/max/0/default.png
V1GS66030_I1GS66239	129	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390129.tif/full/max/0/default.png
V1GS66030_I1GS66239	130	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390130.tif/full/max/0/default.png
V1GS66030_I1GS66239	131	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390131.tif/full/max/0/default.png
V1GS66030_I1GS66239	132	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390132.tif/full/max/0/default.png
V1GS66030_I1GS66239	133	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390133.tif/full/max/0/default.png
V1GS66030_I1GS66239	134	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390134.tif/full/max/0/default.png
V1GS66030_I1GS66239	135	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390135.tif/full/max/0/default.png
V1GS66030_I1GS66239	136	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390136.tif/full/max/0/default.png
V1GS66030_I1GS66239	137	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390137.tif/full/max/0/default.png
V1GS66030_I1GS66239	138	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390138.tif/full/max/0/default.png
V1GS66030_I1GS66239	139	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390139.tif/full/max/0/default.png
V1GS66030_I1GS66239	140	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390140.tif/full/max/0/default.png
V1GS66030_I1GS66239	141	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390141.tif/full/max/0/default.png
V1GS66030_I1GS66239	142	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390142.tif/full/max/0/default.png
V1GS66030_I1GS66239	143	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390143.tif/full/max/0/default.png
V1GS66030_I1GS66239	144	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390144.tif/full/max/0/default.png
V1GS66030_I1GS66239	145	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390145.tif/full/max/0/default.png
V1GS66030_I1GS66239	146	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390146.tif/full/max/0/default.png
V1GS66030_I1GS66239	147	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390147.tif/full/max/0/default.png
V1GS66030_I1GS66239	148	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390148.tif/full/max/0/default.png
V1GS66030_I1GS66239	149	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390149.tif/full/max/0/default.png
V1GS66030_I1GS66239	150	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390150.tif/full/max/0/default.png
V1GS66030_I1GS66239	151	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390151.tif/full/max/0/default.png
V1GS66030_I1GS66239	152	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390152.tif/full/max/0/default.png
V1GS66030_I1GS66239	153	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390153.tif/full/max/0/default.png
V1GS66030_I1GS66239	154	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390154.tif/full/max/0/default.png
V1GS66030_I1GS66239	155	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390155.tif/full/max/0/default.png
V1GS66030_I1GS66239	156	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390156.tif/full/max/0/default.png
V1GS66030_I1GS66239	157	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390157.tif/full/max/0/default.png
V1GS66030_I1GS66239	158	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390158.tif/full/max/0/default.png
V1GS66030_I1GS66239	159	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390159.tif/full/max/0/default.png
V1GS66030_I1GS66239	160	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390160.tif/full/max/0/default.png
V1GS66030_I1GS66239	161	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390161.tif/full/max/0/default.png
V1GS66030_I1GS66239	162	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390162.tif/full/max/0/default.png
V1GS66030_I1GS66239	163	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390163.tif/full/max/0/default.png
V1GS66030_I1GS66239	164	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390164.tif/full/max/0/default.png
V1GS66030_I1GS66239	165	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390165.tif/full/max/0/default.png
V1GS66030_I1GS66239	166	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390166.tif/full/max/0/default.png
V1GS66030_I1GS66239	167	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390167.tif/full/max/0/default.png
V1GS66030_I1GS66239	168	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390168.tif/full/max/0/default.png
V1GS66030_I1GS66239	169	https://iiif.bdrc.io/bdr:V1GS66030_I1GS66239::I1GS662390169.tif/full/max/0/default.png
